t;y;v_{y};a_{y};L;a;v;p;x
0,000;8,904;;;0.000;;;;-1,804E-2
0,266;8,679;-0,859;;0,225;;0,859;0,859;-2,671E-2
0,533;8,447;-0,809;0,129;0,458;0,130;0,811;0,811;-1,157E-2
0,799;8,248;-0,767;0,116;0,657;0,154;0,767;0,767;-5,395E-4
1,065;8,038;-0,766;-4,905E-2;0,867;5,299E-2;0,766;0,766;-3,356E-3
1,332;7,840;-0,778;1,028E-2;1,065;1,149E-2;0,778;0,778;-6,450E-3
1,598;7,624;-0,778;3,738E-2;1,281;3,738E-2;0,778;0,778;-2,623E-4
1,864;7,426;-0,743;0,112;1,480;0,112;0,743;0,743;-6,450E-3
2,131;7,228;-0,726;9,345E-2;1,678;9,530E-2;0,726;0,726;-3,356E-3
2,397;7,039;-0,691;6,230E-3;1,866;1,970E-2;0,691;0,691;-3,356E-3
2,663;6,860;-0,714;6,230E-3;2,046;4,405E-2;0,714;0,714;-1,264E-2
2,930;6,659;-0,709;3,738E-2;2,247;5,286E-2;0,709;0,709;-2,623E-4
3,196;6,482;-0,674;7,476E-2;2,424;7,880E-2;0,674;0,674;-2,623E-4
3,463;6,300;-0,680;1,869E-2;2,607;3,115E-2;0,680;0,680;-1,264E-2
3,729;6,120;-0,662;3,738E-2;2,787;5,286E-2;0,662;0,662;-2,623E-4
3,995;5,947;-0,656;4,361E-2;2,960;6,623E-2;0,656;0,656;-6,450E-3
4,262;5,771;-0,645;3,115E-2;3,136;4,866E-2;0,645;0,645;-2,623E-4
4,528;5,604;-0,633;0,106;3,304;0,106;0,633;0,633;-6,450E-3
4,794;5,433;-0,598;6,853E-2;3,474;7,806E-2;0,598;0,598;2,831E-3
5,061;5,285;-0,581;6,230E-2;3,623;7,265E-2;0,581;0,581;-2,623E-4
5,327;5,124;-0,581;-4,984E-2;3,784;7,978E-2;0,581;0,581;-9,544E-3
5,593;4,976;-0,592;1,246E-2;3,932;3,355E-2;0,593;0,593;-6,450E-3
5,860;4,808;-0,592;9,968E-2;4,099;9,988E-2;0,592;0,592;-2,623E-4
6,126;4,660;-0,529;4,361E-2;4,248;4,405E-2;0,529;0,529;-3,356E-3
6,392;4,527;-0,558;-4,984E-2;4,381;5,023E-2;0,558;0,558;2,831E-3
6,659;4,363;-0,581;2,492E-2;4,545;5,573E-2;0,581;0,581;5,925E-3
6,925;4,218;-0,529;0,143;4,691;0,144;0,529;0,529;2,831E-3
7,191;4,081;-0,505;5,607E-2;4,827;6,414E-2;0,505;0,505;-2,623E-4
7,458;3,948;-0,499;1,246E-2;4,960;4,536E-2;0,500;0,500;-2,623E-4
7,724;3,815;-0,499;3,738E-2;5,093;3,738E-2;0,500;0,500;2,831E-3
7,990;3,682;-0,482;8,099E-2;5,227;8,099E-2;0,482;0,482;-1,264E-2
8,257;3,559;-0,453;7,476E-2;5,351;8,359E-2;0,453;0,453;-3,356E-3
8,523;3,441;-0,441;-1,246E-2;5,469;1,762E-2;0,442;0,442;-1,264E-2
8,789;3,323;-0,459;-3,115E-2;5,586;5,360E-2;0,459;0,459;-9,544E-3
9,056;3,197;-0,465;9,968E-2;5,713;0,106;0,465;0,465;-3,356E-3
9,322;3,076;-0,407;0,174;5,834;0,175;0,407;0,407;-3,356E-3
9,589;2,980;-0,360;6,230E-2;5,930;6,261E-2;0,360;0,360;-6,450E-3
9,855;2,884;-0,378;6,230E-3;6,026;3,790E-2;0,378;0,378;-2,623E-4
10,121;2,779;-0,366;1,869E-2;6,132;4,179E-2;0,367;0,367;-6,450E-3
10,388;2,689;-0,354;-4,361E-2;6,221;5,359E-2;0,355;0,355;-1,264E-2
10,654;2,590;-0,395;-2,492E-2;6,322;4,493E-2;0,395;0,395;2,831E-3
10,920;2,479;-0,378;3,115E-2;6,433;4,866E-2;0,378;0,378;-6,450E-3
11,187;2,389;-0,360;8,722E-2;6,523;9,489E-2;0,360;0,360;-9,544E-3
11,453;2,287;-0,348;4,984E-2;6,625;5,572E-2;0,348;0,348;-6,450E-3
11,719;2,203;-0,319;4,361E-2;6,709;6,168E-2;0,319;0,319;-9,544E-3
11,986;2,117;-0,331;6,230E-3;6,796;1,970E-2;0,332;0,332;-3,356E-3
12,252;2,027;-0,319;6,230E-3;6,886;5,023E-2;0,319;0,319;5,925E-3
12,518;1,947;-0,319;8,099E-2;6,967;8,920E-2;0,320;0,320;-3,356E-3
12,785;1,857;-0,290;4,983E-2;7,057;5,322E-2;0,290;0,290;-2,623E-4
13,051;1,792;-0,273;1,869E-2;7,122;2,246E-2;0,273;0,273;-6,450E-3
13,317;1,712;-0,296;8,099E-2;7,202;8,123E-2;0,296;0,296;-6,450E-3
13,584;1,634;-0,232;0,150;7,280;0,151;0,232;0,232;-3,356E-3
13,850;1,588;-0,197;0,125;7,327;0,126;0,198;0,198;-9,544E-3
14,116;1,529;-0,186;-1,246E-2;7,386;1,762E-2;0,186;0,186;-2,623E-4
14,383;1,489;-0,186;-0,548;7,427;0,548;0,186;0,186;-9,544E-3
14,649;1,430;-0,459;-1,560;7,487;1,560;0,459;0,459;-3,356E-3
14,916;1,244;-1,032;-1,463;7,672;1,469;1,032;1,032;-3,356E-3
15,182;0,880;-1,308;-0,460;8,036;0,472;1,309;1,309;-7,006E-3
15,448;0,547;-1,217;;8,370;;1,217;1,217;-3,289E-2
15,715;0,232;;;8,688;;;;4,237E-3
