t;y;v_{y};v;a_{y};a;p_{y};p;L
0,000;8,978;;;;;;;0.000
0,266;8,786;-0,806;0,806;;;-0,806;0,806;0,193
0,533;8,549;-0,797;0,797;-0,127;0,127;-0,797;0,797;0,432
0,799;8,362;-0,818;0,819;-7,357E-2;9,023E-2;-0,818;0,819;0,623
1,065;8,113;-0,889;0,890;7,320E-2;0,156;-0,889;0,890;0,872
1,332;7,888;-0,761;0,762;0,220;0,259;-0,761;0,762;1,098
1,598;7,708;-0,745;0,745;2,858E-2;4,086E-2;-0,745;0,745;1,278
1,864;7,492;-0,781;0,781;-2,987E-2;5,351E-2;-0,781;0,781;1,495
2,131;7,291;-0,744;0,744;3,165E-2;3,197E-2;-0,744;0,744;1,695
2,397;7,095;-0,763;0,763;7,104E-2;7,189E-2;-0,763;0,763;1,891
2,663;6,885;-0,724;0,724;0,111;0,120;-0,724;0,724;2,101
2,930;6,710;-0,679;0,679;8,116E-2;0,115;-0,679;0,679;2,277
3,196;6,524;-0,696;0,697;-2,571E-2;6,305E-2;-0,696;0,697;2,463
3,463;6,339;-0,689;0,690;9,278E-2;9,588E-2;-0,689;0,690;2,649
3,729;6,156;-0,651;0,651;4,499E-2;0,110;-0,651;0,651;2,832
3,995;5,992;-0,651;0,651;-6,830E-2;0,129;-0,651;0,651;2,996
4,262;5,810;-0,700;0,703;5,450E-2;7,049E-2;-0,700;0,703;3,180
4,528;5,620;-0,633;0,633;0,262;0,313;-0,633;0,633;3,371
4,794;5,473;-0,537;0,539;2,768E-3;6,345E-2;-0,537;0,539;3,518
5,061;5,333;-0,624;0,624;-0,152;0,178;-0,624;0,624;3,658
5,327;5,140;-0,659;0,659;6,858E-2;8,221E-2;-0,659;0,659;3,851
5,593;4,982;-0,559;0,559;0,221;0,230;-0,559;0,559;4,009
5,860;4,842;-0,539;0,539;-1,470E-2;1,994E-2;-0,539;0,539;4,149
6,126;4,695;-0,573;0,573;3,552E-2;3,594E-2;-0,573;0,573;4,296
6,392;4,537;-0,533;0,533;3,675E-2;4,985E-2;-0,533;0,533;4,455
6,659;4,411;-0,525;0,526;1,286E-2;3,153E-2;-0,525;0,526;4,581
6,925;4,257;-0,553;0,553;-3,248E-2;0,103;-0,553;0,553;4,735
7,191;4,117;-0,528;0,529;5,849E-2;7,494E-2;-0,528;0,529;4,876
7,458;3,976;-0,526;0,526;0,130;0,153;-0,526;0,526;5,017
7,724;3,837;-0,466;0,467;0,106;0,107;-0,466;0,467;5,157
7,990;3,728;-0,447;0,447;1,378E-2;1,576E-2;-0,447;0,447;5,265
8,257;3,598;-0,479;0,480;5,115E-2;6,499E-2;-0,479;0,480;5,395
8,523;3,473;-0,420;0,421;-3,217E-2;9,588E-2;-0,420;0,421;5,521
8,790;3,375;-0,468;0,469;5,505E-3;3,595E-2;-0,468;0,469;5,619
9,056;3,223;-0,468;0,468;-7,965E-3;2,229E-2;-0,468;0,468;5,772
9,322;3,126;-0,421;0,421;8,820E-2;0,120;-0,421;0,421;5,870
9,589;2,999;-0,454;0,454;4,838E-2;5,369E-2;-0,454;0,454;5,998
9,855;2,884;-0,388;0,388;2,144E-2;2,229E-2;-0,388;0,388;6,114
10,121;2,792;-0,422;0,422;-1,532E-2;3,153E-2;-0,422;0,422;6,206
10,388;2,659;-0,434;0,434;0,145;0,172;-0,434;0,434;6,339
10,654;2,561;-0,321;0,322;0,161;0,165;-0,321;0,322;6,437
10,920;2,488;-0,336;0,336;-3,737E-2;6,064E-2;-0,336;0,336;6,511
11,187;2,382;-0,369;0,369;1,439E-2;1,576E-2;-0,369;0,369;6,617
11,453;2,291;-0,315;0,315;0,156;0,156;-0,315;0,315;6,708
11,719;2,214;-0,283;0,284;-5,114E-2;6,499E-2;-0,283;0,284;6,785
11,986;2,140;-0,336;0,337;-9,063E-2;9,405E-2;-0,336;0,337;6,860
12,252;2,035;-0,355;0,355;8,667E-2;9,793E-2;-0,355;0,355;6,965
12,518;1,951;-0,276;0,276;0,184;0,184;-0,276;0,276;7,049
12,785;1,888;-0,249;0,250;-4,533E-2;8,221E-2;-0,249;0,250;7,112
13,051;1,818;-0,303;0,304;-4,257E-2;4,288E-2;-0,303;0,304;7,182
13,317;1,727;-0,290;0,290;0,127;0,127;-0,290;0,290;7,276
13,584;1,664;-0,217;0,217;5,145E-2;6,978E-2;-0,217;0,217;7,339
13,850;1,611;-0,257;0,257;;;-0,257;0,257;7,393
14,116;1,527;;;;;;;7,477
