
t;x;y;v_{y};a_{y};p_{y};L;a;v
0,000;-1,491E-2;8,700;;;;0.000;;
0,100;-3,813E-2;8,669;-0,541;;-0,541;3,932E-2;;0,557
0,200;-4,146E-2;8,592;-0,803;-1,833;-0,803;0,116;1,913;0,812
0,300;-1,420E-2;8,508;-0,881;0,955;-0,881;0,204;0,972;0,882
0,400;-3,364E-2;8,416;-0,655;0,759;-0,655;0,298;1,142;0,656
0,499;-1,992E-2;8,377;-0,617;-1,774;-0,617;0,340;1,780;0,617
0,599;-3,902E-2;8,293;-1,078;-1,549;-1,078;0,426;1,549;1,081
0,699;-3,704E-2;8,162;-1,006;1,064;-1,006;0,557;1,414;1,006
0,799;-3,236E-2;8,092;-0,738;1,007;-0,738;0,627;1,047;0,742
0,899;-2,032E-2;8,014;-0,850;-2,407E-2;-0,850;0,705;0,552;0,850
0,999;-3,206E-2;7,922;-0,778;0,460;-0,778;0,798;0,624;0,787
1,099;3,759E-3;7,859;-0,697;1,132;-0,697;0,871;1,287;0,699
1,199;-2,271E-2;7,783;-0,612;-0,427;-0,612;0,951;0,552;0,628
1,298;-2,472E-2;7,737;-0,697;-1,151;-0,697;0,998;1,561;0,699
1,398;-1,336E-2;7,644;-0,930;-0,877;-0,930;1,091;0,890;0,933
1,498;-9,691E-3;7,551;-0,850;2,450;-0,850;1,184;2,490;0,850
1,598;-1,305E-2;7,474;-0,463;1,793;-0,463;1,261;1,886;0,463
1,698;-1,373E-2;7,459;-0,382;-1,631;-0,382;1,277;1,796;0,394
1,798;-3,182E-2;7,398;-0,862;-2,629;-0,862;1,340;2,652;0,864
1,898;-2,411E-4;7,287;-0,967;1,462;-0,967;1,456;1,462;0,972
1,998;-1,355E-2;7,204;-0,533;1,496;-0,533;1,539;1,574;0,535
2,097;-9,753E-3;7,180;-0,562;-0,489;-0,562;1,564;0,492;0,564
2,197;-3,863E-3;7,092;-0,777;-0,701;-0,777;1,652;0,709;0,778
2,297;-1,653E-2;7,025;-0,634;0,713;-0,634;1,720;0,811;0,634
2,397;3,332E-4;6,966;-0,631;-0,713;-0,631;1,782;0,811;0,632
2,497;-2,204E-2;6,899;-0,778;-0,547;-0,778;1,853;0,594;0,778
2,597;-1,594E-3;6,810;-0,780;0,819;-0,780;1,943;0,904;0,781
