t;x;y;v_{y};v_{x};a_{y};p_{y};L;p;v;a
0,000;-2,652E-2;8,807;;;;;0.000;;;
0,266;-1,650E-2;8,650;-0,588;1,881E-2;;-0,588;0,157;0,588;0,588;
0,533;-1,650E-2;8,494;-0,735;1,634E-2;-0,298;-0,735;0,314;0,735;0,735;0,304
0,799;-7,794E-3;8,259;-0,801;-2,948E-15;-5,258E-2;-0,801;0,549;0,801;0,801;8,764E-2
1,065;-1,650E-2;8,067;-0,719;3,268E-2;-7,011E-2;-0,719;0,740;0,720;0,720;7,011E-2
1,332;9,613E-3;7,876;-0,833;3,268E-2;-9,671E-2;-0,833;0,934;0,834;0,834;0,143
1,598;9,096E-4;7,623;-0,821;-4,899E-2;8,313E-2;-0,821;1,186;0,823;0,823;0,109
1,864;-1,648E-2;7,438;-0,731;-8,138E-3;0,206;-0,731;1,372;0,731;0,731;0,211
2,131;-3,426E-3;7,234;-0,743;0.000;-3,472E-2;-0,743;1,577;0,743;0,743;7,817E-2
2,397;-1,648E-2;7,042;-0,735;0.000;5,258E-2;-0,735;1,769;0,735;0,735;5,542E-2
2,663;-3,426E-3;6,842;-0,727;1,634E-2;2,629E-2;-0,727;1,970;0,727;0,727;4,382E-2
2,930;-7,777E-3;6,655;-0,711;0.000;0,131;-0,711;2,157;0,711;0,711;0,142
3,196;-3,426E-3;6,463;-0,670;0.000;3,505E-2;-0,670;2,348;0,670;0,670;3,919E-2
3,463;-7,777E-3;6,298;-0,670;0.000;7,011E-2;-0,670;2,514;0,670;0,670;7,838E-2
3,729;-3,426E-3;6,106;-0,662;-8,169E-3;-2,629E-2;-0,662;2,705;0,662;0,662;3,718E-2
3,995;-1,213E-2;5,945;-0,654;0.000;0.000;-0,654;2,867;0,654;0,654;1,753E-2
4,262;-3,426E-3;5,758;-0,686;0.000;3,505E-2;-0,686;3,054;0,686;0,686;4,957E-2
4,528;-1,213E-2;5,580;-0,629;0.000;0,184;-0,629;3,232;0,629;0,629;0,187
4,794;-3,426E-3;5,423;-0,580;0.000;4,381E-2;-0,580;3,389;0,580;0,580;4,719E-2
5,061;-1,213E-2;5,271;-0,605;-8,169E-3;-1,753E-2;-0,605;3,542;0,605;0,605;1,960E-2
5,327;-7,777E-3;5,101;-0,605;1,634E-2;7,011E-2;-0,605;3,712;0,605;0,605;7,838E-2
5,593;-3,426E-3;4,949;-0,556;8,170E-3;8,763E-2;-0,556;3,864;0,556;0,556;9,149E-2
5,860;-3,426E-3;4,805;-0,556;0.000;-3,505E-2;-0,556;4,008;0,556;0,556;3,919E-2
6,126;-3,426E-3;4,653;-0,580;1,634E-2;-6,134E-2;-0,580;4,160;0,580;0,580;8,079E-2
6,392;5,278E-3;4,496;-0,588;-1,634E-2;8,763E-2;-0,588;4,317;0,588;0,588;8,937E-2
6,659;-1,213E-2;4,340;-0,539;-1,634E-2;0,140;-0,539;4,475;0,539;0,539;0,150
6,925;-3,426E-3;4,209;-0,498;3,268E-2;4,382E-2;-0,498;4,605;0,499;0,499;0,114
7,191;5,278E-3;4,074;-0,523;3,268E-2;-3,505E-2;-0,523;4,741;0,524;0,524;0,128
7,458;1,398E-2;3,931;-0,523;-2,451E-2;5,258E-2;-0,523;4,884;0,523;0,523;9,479E-2
7,724;-7,777E-3;3,796;-0,490;-3,268E-2;0,105;-0,490;5,021;0,491;0,491;0,107
7,990;-3,426E-3;3,670;-0,466;-8,169E-3;2,629E-2;-0,466;5,147;0,466;0,466;8,313E-2
8,257;-1,213E-2;3,548;-0,474;-8,169E-3;7,010E-2;-0,474;5,270;0,474;0,474;8,267E-2
8,523;-7,777E-3;3,417;-0,441;2,451E-2;5,258E-2;-0,441;5,400;0,442;0,442;8,079E-2
8,790;9,261E-4;3,313;-0,425;2,451E-2;-4,427E-14;-0,425;5,505;0,426;0,426;0,131
9,056;5,278E-3;3,191;-0,457;-4,085E-2;1,753E-2;-0,457;5,627;0,459;0,459;3,160E-2
9,322;-2,083E-2;3,069;-0,417;-1,634E-2;9,640E-2;-0,417;5,751;0,417;0,417;0,130
9,589;-3,426E-3;2,969;-0,392;4,085E-2;5,258E-2;-0,392;5,853;0,394;0,394;5,879E-2
9,855;9,261E-4;2,860;-0,400;-1,634E-2;-7,887E-2;-0,400;5,962;0,401;0,401;9,479E-2
10,121;-1,213E-2;2,756;-0,425;0.000;1,753E-2;-0,425;6,067;0,425;0,425;5,542E-2
10,388;9,261E-4;2,634;-0,408;3,268E-2;0,105;-0,408;6,190;0,410;0,410;0,118
10,654;5,278E-3;2,538;-0,351;1,634E-2;0,167;-0,351;6,286;0,352;0,352;0,197
10,920;9,630E-3;2,447;-0,327;-1,634E-2;-5,258E-2;-0,327;6,377;0,327;0,327;0,102
11,187;-3,426E-3;2,364;-0,368;-4,085E-2;-6,134E-2;-0,368;6,461;0,370;0,370;6,674E-2
11,453;-1,213E-2;2,251;-0,384;0.000;2,629E-2;-0,384;6,574;0,384;0,384;9,149E-2
11,719;-3,426E-3;2,159;-0,335;1,634E-2;0,149;-0,335;6,666;0,335;0,335;0,153
11,986;-3,426E-3;2,072;-0,310;8,169E-3;1,753E-2;-0,310;6,753;0,311;0,311;6,380E-2
12,252;9,261E-4;1,994;-0,319;-8,169E-3;-2,629E-2;-0,319;6,832;0,319;0,319;2,771E-2
12,518;-7,777E-3;1,903;-0,335;0.000;7,886E-2;-0,335;6,923;0,335;0,335;0,106
12,785;9,261E-4;1,816;-0,278;-2,451E-2;0,193;-0,278;7,011;0,279;0,279;0,198
13,051;-2,083E-2;1,755;-0,221;-8,169E-3;-2,629E-2;-0,221;7,076;0,221;0,221;5,110E-2
13,317;-3,426E-3;1,698;-0,286;3,268E-2;-6,134E-2;-0,286;7,135;0,288;0,288;8,080E-2
13,584;-3,426E-3;1,602;-0,286;0.000;6,135E-2;-0,286;7,230;0,286;0,286;8,080E-2
13,850;-3,426E-3;1,546;-0,221;8,169E-3;0,149;-0,221;7,287;0,221;0,221;0,155
14,116;9,261E-4;1,485;-0,221;-1,634E-2;-1,095;-0,221;7,348;0,221;0,221;1,098
14,383;-1,213E-2;1,428;-0,727;2,451E-2;-1,779;-0,727;7,406;0,727;0,727;1,780
14,649;1,398E-2;1,098;-1,307;4,901E-2;;-1,307;7,738;1,308;1,308;
14,916;1,398E-2;0,732;;;;;8,103;;;

