t;v_{y};y;L;a_{y};p_{y};a;p;v
0,000;;8,777;0.000;;;;;
0,266;-0,837;8,600;0,177;;-0,837;;0,837;0,837
0,533;-0,974;8,331;0,447;-7,425E-3;-0,974;4,603E-2;0,975;0,975
0,799;-0,822;8,081;0,697;0,453;-0,822;0,453;0,823;0,823
1,065;-0,706;7,893;0,886;0,151;-0,706;0,152;0,706;0,706
1,332;-0,751;7,705;1,073;-4,856E-2;-0,751;7,120E-2;0,751;0,751
1,598;-0,752;7,493;1,286;-4,811E-2;-0,752;8,058E-2;0,752;0,752
1,864;-0,750;7,305;1,474;-5,119E-2;-0,750;5,628E-2;0,751;0,751
2,131;-0,798;7,093;1,687;5,294E-2;-0,798;9,075E-2;0,798;0,798
2,397;-0,727;6,880;1,901;0,250;-0,727;0,257;0,727;0,727
2,663;-0,645;6,706;2,077;-3,386E-2;-0,645;4,133E-2;0,645;0,645
2,930;-0,738;6,536;2,248;-0,109;-0,738;0,170;0,739;0,739
3,196;-0,747;6,312;2,472;0,111;-0,747;0,124;0,747;0,747
3,463;-0,640;6,138;2,647;0,152;-0,640;0,152;0,640;0,640
3,729;-0,669;5,971;2,814;-3,729E-2;-0,669;5,886E-2;0,670;0,670
3,995;-0,679;5,782;3,004;7,185E-2;-0,679;8,635E-2;0,679;0,679
4,262;-0,619;5,610;3,176;0,111;-0,619;0,121;0,619;0,619
4,528;-0,613;5,452;3,334;8,289E-3;-0,613;3,600E-2;0,614;0,614
4,794;-0,626;5,283;3,503;9,494E-2;-0,626;0,130;0,626;0,626
5,061;-0,565;5,119;3,668;-5,441E-2;-0,565;5,502E-2;0,566;0,566
5,327;-0,625;4,982;3,805;-1,395E-2;-0,625;0,110;0,625;0,625
5,593;-0,628;4,786;4,001;3,804E-2;-0,628;4,400E-2;0,628;0,628
5,860;-0,552;4,648;4,139;0,151;-0,552;0,171;0,552;0,552
6,126;-0,574;4,492;4,296;4,089E-2;-0,574;6,981E-2;0,575;0,575
6,392;-0,527;4,342;4,446;3,399E-2;-0,527;0,113;0,528;0,528
6,659;-0,541;4,211;4,577;-2,196E-4;-0,541;6,291E-3;0,542;0,542
6,925;-0,552;4,054;4,736;1,317E-3;-0,552;3,775E-2;0,552;0,552
7,191;-0,521;3,917;4,874;8,371E-2;-0,521;9,947E-2;0,522;0,522
7,458;-0,517;3,776;5,015;8,627E-2;-0,517;0,101;0,517;0,517
7,724;-0,475;3,642;5,149;0,107;-0,475;0,107;0,475;0,475
7,990;-0,452;3,523;5,268;1,798E-2;-0,452;3,146E-2;0,452;0,452
8,257;-0,470;3,401;5,390;1,126E-2;-0,470;3,979E-2;0,470;0,470
8,523;-0,453;3,273;5,518;5,878E-2;-0,453;8,464E-2;0,453;0,453
8,790;-0,428;3,160;5,632;9,409E-2;-0,428;9,458E-2;0,428;0,428
9,056;-0,411;3,045;5,748;-6,200E-2;-0,411;6,776E-2;0,411;0,411
9,322;-0,446;2,941;5,853;-2,691E-2;-0,446;5,627E-2;0,446;0,446
9,589;-0,452;2,807;5,988;8,174E-2;-0,452;8,179E-2;0,452;0,452
9,855;-0,382;2,700;6,095;6,763E-2;-0,382;8,203E-2;0,383;0,383
10,121;-0,411;2,603;6,192;-4,876E-2;-0,411;6,688E-2;0,412;0,412
10,388;-0,428;2,481;6,314;8,327E-2;-0,428;9,289E-2;0,429;0,429
10,654;-0,358;2,375;6,420;0,173;-0,358;0,194;0,358;0,358
10,920;-0,327;2,291;6,504;4,920E-2;-0,327;5,935E-2;0,330;0,330
11,187;-0,340;2,201;6,596;-1,411E-2;-0,340;4,580E-2;0,340;0,340
11,453;-0,335;2,109;6,689;1,842E-2;-0,335;2,268E-2;0,335;0,335
11,719;-0,328;2,022;6,777;-2,515E-2;-0,328;2,516E-2;0,329;0,329
11,986;-0,347;1,935;6,864;9,278E-2;-0,347;0,104;0,347;0,347
12,252;-0,294;1,837;6,962;6,507E-2;-0,294;8,897E-2;0,294;0,294
12,518;-0,281;1,778;7,022;7,567E-2;-0,281;7,576E-2;0,282;0,282
12,785;-0,288;1,688;7,112;-7,202E-2;-0,288;0,107;0,288;0,288
13,051;-0,289;1,625;7,177;6,894E-2;-0,289;6,949E-2;0,290;0,290
13,317;-0,282;1,534;7,268;2,778E-2;-0,282;7,958E-2;0,282;0,282
13,584;-0,246;1,475;7,327;4,986E-2;-0,246;5,188E-2;0,246;0,246
13,850;-0,270;1,403;7,399;8,868E-2;-0,270;9,007E-2;0,270;0,270
14,116;-0,205;1,331;7,471;;-0,205;;0,205;0,205
14,383;;1,294;7,510;;;;;
